Year,Period,Material,Customer_name,Act_del,F9,F8,F7,F6,F5,F4,F3,F2,F1,F0
2021,DEC,GP22 NAT,BROTHER,66000,58000,51000,51000,60000,58000,58000,57000,64000,64000,64000
2022,JAN,GP22 NAT,BROTHER,56000,67000,74775,67000,71000,73000,69000,63000,61000,44000,44000
2022,FEB,GP22 NAT,BROTHER,41000,,63000,66000,66000,65000,64000,56000,58000,48000,48000
2022,MAR,GP22 NAT,BROTHER,63000,67000,67000,65000,62000,77000,63000,65000,57000,86000,57000
2022,APR,GP22 NAT,BROTHER,49000,62000,64000,63000,58000,58000,66000,52000,66000,66000,60000
2022,MAY,GP22 NAT,BROTHER,57000,,,65000,64000,60000,62000,49000,62000,47000,50000
2022,JUN,GP22 NAT,BROTHER,59000,,62000,82000,57000,63000,57000,63000,61000,37000,37000
2022,JUL,GP22 NAT,BROTHER,48000,,61000,60000,72000,60000,55000,55000,56000,46000,46000
2022,AUG,GP22 NAT,BROTHER,55000,,72000,71000,72000,64000,73000,70000,66000,67000,39000
2022,SEP,GP22 NAT,BROTHER,48000,,,,18000,66000,58000,52000,51000,50000,42000
2022,OCT,GP22 NAT,BROTHER,46000,,69000,67000,81000,65000,64000,117000,69000,69000,37000
2022,NOV,GP22 NAT,BROTHER,52000,53000,49000,53000,46000,48000,47000,53000,39000,36000,37000
2021,DEC,GP22 NAT,TAIHAN,1500,,,,,,2025,2625,2275,2775,2775
2022,JAN,GP22 NAT,TAIHAN,1550,,,,,,2875,2975,2625,2625,1975
2022,FEB,GP22 NAT,TAIHAN,2650,,,,,,2825,2525,2525,2575,2250
2022,MAR,GP22 NAT,TAIHAN,1800,,,,,,2900,2900,3125,3125,3025
2022,APR,GP22 NAT,TAIHAN,1500,,,,,,,2525,2525,2000,1525
2022,MAY,GP22 NAT,TAIHAN,2350,,,,,,2575,2575,1825,1700,1975
2022,JUN,GP22 NAT,TAIHAN,2400,,,,,,2575,2725,2825,2750,2376.134064
2022,JUL,GP22 NAT,TAIHAN,2800,,,,,,1950,2025,2000,2376.134064,2575
2022,AUG,GP22 NAT,TAIHAN,2800,,,,,,2675,3300,2668.870188,2850,2975
2022,SEP,GP22 NAT,TAIHAN,2125,,,,,,1775,2139.82434,2175,2275,3025
2022,OCT,GP22 NAT,TAIHAN,2700,,,,,,2635.111656,2850,2700,5775,3675
2022,NOV,GP22 NAT,TAIHAN,2200,,,,,,2025,1875,2100,2000,3375
2021,DEC,GP22 NAT,SANKO GOSEI,1000,,,,,2500,2500,2500,2000,2000,2000
2022,JAN,GP22 NAT,SANKO GOSEI,1000,,,,,2000,2500,2500,2500,2500,2500
2022,FEB,GP22 NAT,SANKO GOSEI,1000,,,,1000,2500,2500,2500,2500,2500,2250
2022,MAR,GP22 NAT,SANKO GOSEI,1000,,,,3000,3000,3000,3000,3500,3000,3000
2022,APR,GP22 NAT,SANKO GOSEI,1000,,,3000,3000,3000,2500,2000,2000,3000,2500
2022,MAY,GP22 NAT,SANKO GOSEI,500,,,3000,3000,2000,2500,2500,2000,2000,2000
2022,JUN,GP22 NAT,SANKO GOSEI,1200,,,3000,3000,2500,2500,3000,3500,3000,2500
2022,JUL,GP22 NAT,SANKO GOSEI,1500,,,2500,2500,2500,2000,2500,2500,2500,2000
2022,AUG,GP22 NAT,SANKO GOSEI,1500,,,,0,2500,2500,2500,2500,2500,2000
2022,SEP,GP22 NAT,SANKO GOSEI,2000,,,,2500,2500,3000,3000,3000,3000,3000
2022,OCT,GP22 NAT,SANKO GOSEI,1000,,,,0,2500,2500,2500,2500,2500,2000
2022,NOV,GP22 NAT,SANKO GOSEI,2000,,,,2000,2500,2000,2000,2500,2500,2000
2021,DEC,GP22 NAT,NEW LIMMING (LMTP),1600,,,,1350,1350,1900,1900,1250,2150,2150
2022,JAN,GP22 NAT,NEW LIMMING (LMTP),2500,,,,1350,1350,2500,2150,1950,1950,700
2022,FEB,GP22 NAT,NEW LIMMING (LMTP),0,,,,1850,1850,1750,1875,1875,1850,775
2022,MAR,GP22 NAT,NEW LIMMING (LMTP),1000,,,,1875,1750,1850,1850,2075,875,400
2022,APR,GP22 NAT,NEW LIMMING (LMTP),1200,,,2075,2075,2075,1750,875,1500,1500,1500
2022,MAY,GP22 NAT,NEW LIMMING (LMTP),1700,,,2600,2600,2200,875,1200,1200,1200,800
2022,JUN,GP22 NAT,NEW LIMMING (LMTP),1825,,,,1875,875,1500,1500,1500,1600,1800
2022,JUL,GP22 NAT,NEW LIMMING (LMTP),1550,,,,,1500,1500,1500,1425,1675,1575
2022,AUG,GP22 NAT,NEW LIMMING (LMTP),2025,,,,200,200,200,2225,2225,2425,1250
2022,SEP,GP22 NAT,NEW LIMMING (LMTP),1975,,,,,0,1525,1625,1725,1575,975
2022,OCT,GP22 NAT,NEW LIMMING (LMTP),2600,,,,,2225,2225,2250,1250,1675,2700
2022,NOV,GP22 NAT,NEW LIMMING (LMTP),0,,,,,1625,1775,1150,1250,850,1000
2021,DEC,GP22 NAT,CHOEI PLASTIC WORLD,0,,,,,,,,,50000,50000
2022,JAN,GP22 NAT,CHOEI PLASTIC WORLD,0,,,,,,,,180000,130000,130000
2022,FEB,GP22 NAT,CHOEI PLASTIC WORLD,130000,,,,,,,,180000,160000,160000
2022,MAR,GP22 NAT,CHOEI PLASTIC WORLD,130000,,,,,,,180000,160000,160000,180000
2022,APR,GP22 NAT,CHOEI PLASTIC WORLD,100000,,,,,,,160000,160000,180000,160000
2022,MAY,GP22 NAT,CHOEI PLASTIC WORLD,110000,,,,,,,,180000,160000,120000
2022,JUN,GP22 NAT,CHOEI PLASTIC WORLD,100000,,,,,,,200000,180000,160000,160000
2022,JUL,GP22 NAT,CHOEI PLASTIC WORLD,150000,,,,,,,180000,160000,160000,160000
2022,AUG,GP22 NAT,CHOEI PLASTIC WORLD,120000,,,,,,,180000,180000,160000,140000
2022,SEP,GP22 NAT,CHOEI PLASTIC WORLD,110000,,,,,,,180000,180000,160000,140000
2022,OCT,GP22 NAT,CHOEI PLASTIC WORLD,130000,,,,,,180000,160000,160000,180000,180000
2022,NOV,GP22 NAT,CHOEI PLASTIC WORLD,140000,,,,,,160000,160000,150000,150000,140000
2021,DEC,GP22 NAT,CALAMBA SHINEI,4250,,,,,6000,5600,7000,7000,2575,3300
2022,JAN,GP22 NAT,CALAMBA SHINEI,5000,,,,,5500,7000,7000,3575,3800,4125
2022,FEB,GP22 NAT,CALAMBA SHINEI,3500,,6500,6500,4225,4200,4800,5600,5000,5000,
2022,MAR,GP22 NAT,CALAMBA SHINEI,6750,,,,,4200,4500,5100,5200,5200,5200
2022,APR,GP22 NAT,CALAMBA SHINEI,5000,,,,4500,4800,5925,6000,6725,6725,4750
2022,MAY,GP22 NAT,CALAMBA SHINEI,5200,,,,5700,6250,6475,5725,5725,5100,4500
2022,JUN,GP22 NAT,CALAMBA SHINEI,5000,,,6425,5875,6025,6025,5400,5425,6200,6200
2022,JUL,GP22 NAT,CALAMBA SHINEI,4500,,6125,6875,6875,5400,5200,5200,5600,5500,5600
2022,AUG,GP22 NAT,CALAMBA SHINEI,6500,,,,,5200,5225,6200,5600,5800,3500
2022,SEP,GP22 NAT,CALAMBA SHINEI,5000,,,,4000,3875,3450,3500,3500,5700,4500
2022,OCT,GP22 NAT,CALAMBA SHINEI,2000,,,,6800,6350,5700,5600,4000,4500,3050
2022,NOV,GP22 NAT,CALAMBA SHINEI,1750,,,,500,4000,4500,3200,3500,1775,3300
2021,DEC,GP22 NAT,NIDEC SANKYO,125,,,,,950,275,950,950,950,950
2022,JAN,GP22 NAT,NIDEC SANKYO,475,,,,,275,875,850,850,850,850
2022,FEB,GP22 NAT,NIDEC SANKYO,800,,,,,875,775,775,775,775,775
2022,MAR,GP22 NAT,NIDEC SANKYO,900,,,,,775,775,875,875,875,1175
2022,APR,GP22 NAT,NIDEC SANKYO,750,,,,,0,950,875,875,875,875
2022,MAY,GP22 NAT,NIDEC SANKYO,700,,,,,0,950,875,875,875,875
2022,JUN,GP22 NAT,NIDEC SANKYO,875,,,,,875,875,875,875,875,875
2022,JUL,GP22 NAT,NIDEC SANKYO,1350,,,,,0,875,875,875,875,875
2022,AUG,GP22 NAT,NIDEC SANKYO,600,,,,875,875,875,825,825,825,825
2022,SEP,GP22 NAT,NIDEC SANKYO,1450,,,900,1000,900,900,900,900,900,900
2022,OCT,GP22 NAT,NIDEC SANKYO,475,,,900,950,1125,1075,1075,1075,1075,1075
2022,NOV,GP22 NAT,NIDEC SANKYO,375,,,,650,650,500,500,500,500,500
2021,DEC,GP30 PETFC01,NIPPO METAL,975,,,,,,775,900,1025,725,675
2022,JAN,GP30 PETFC01,NIPPO METAL,1350,,,,,975,1025,975,650,650,950
2022,FEB,GP30 PETFC01,NIPPO METAL,1275,,,,,1025,1025,900,900,975,1250
2022,MAR,GP30 PETFC01,NIPPO METAL,1000,,,,,1225,1225,1225,1275,1275,1275
2022,APR,GP30 PETFC01,NIPPO METAL,1300,,,,,1050,1050,1025,925,1175,900
2022,MAY,GP30 PETFC01,NIPPO METAL,925,,,,,,1050,800,725,800,800
2022,JUN,GP30 PETFC01,NIPPO METAL,1725,,,,,,1150,925,1350,1350,1875
2022,JUL,GP30 PETFC01,NIPPO METAL,1850,,,,,,900,925,925,1425,2100
2022,AUG,GP30 PETFC01,NIPPO METAL,1500,,,,,,1150,1150,1725,1800,1925
2022,SEP,GP30 PETFC01,NIPPO METAL,1850,,,,,,,1425,1350,1350,2125
2022,OCT,GP30 PETFC01,NIPPO METAL,1925,,,,,1650,1850,1725,1800,2375,2375
2022,NOV,GP30 PETFC01,NIPPO METAL,1325,,,,,1300,1300,1250,1300,1300,1550
2021,DEC,IUPITAL WA-11H,NIDEC SANKYO,50,,,,,,,125,125,125,125
2022,JAN,IUPITAL WA-11H,NIDEC SANKYO,100,,,,,,175,100,125,100,125
2022,FEB,IUPITAL WA-11H,NIDEC SANKYO,100,,,,,,100,100,100,100,100
2022,MAR,IUPITAL WA-11H,NIDEC SANKYO,75,,,,,,100,100,100,100,75
2022,APR,IUPITAL WA-11H,NIDEC SANKYO,50,,,,,,,,100,75,75
2022,MAY,IUPITAL WA-11H,NIDEC SANKYO,100,,,,,,100,75,75,75,75
2022,JUN,IUPITAL WA-11H,NIDEC SANKYO,175,,,,,,75,100,100,100,100
2022,JUL,IUPITAL WA-11H,NIDEC SANKYO,225,,,,,100,100,100,100,100,100
2022,AUG,IUPITAL WA-11H,NIDEC SANKYO,0,,,,,100,100,100,150,150,150
2022,SEP,IUPITAL WA-11H,NIDEC SANKYO,175,,,,,,100,100,100,100,100
2022,OCT,IUPITAL WA-11H,NIDEC SANKYO,125,,,,,175,175,125,125,125,125
2022,NOV,IUPITAL WA-11H,NIDEC SANKYO,175,,,,,175,175,150,150,150,150
2021,DEC,IUPITAL F30-01,NIDEC SANKYO,1750,,,,,2700,2850,2350,2600,2350,2350
2022,JAN,IUPITAL F30-01,NIDEC SANKYO,1400,,,,,2825,2625,2350,2600,2600,2350
2022,FEB,IUPITAL F30-01,NIDEC SANKYO,2600,,,,,,2625,2350,2350,2350,2675
2022,MAR,IUPITAL F30-01,NIDEC SANKYO,2975,,,,,,2350,2675,2625,2675,2350
2022,APR,IUPITAL F30-01,NIDEC SANKYO,2500,,,,,,2900,2625,2625,2625,2625
2022,MAY,IUPITAL F30-01,NIDEC SANKYO,1600,,,,,2900,2625,2625,2625,2625,2625
2022,JUN,IUPITAL F30-01,NIDEC SANKYO,2750,,,,,,2625,2100,2100,2100,2100
2022,JUL,IUPITAL F30-01,NIDEC SANKYO,2250,,,,,2625,2100,2100,2100,2350,2350
2022,AUG,IUPITAL F30-01,NIDEC SANKYO,3025,,,,2625,2100,2100,2100,2525,2525,2525
2022,SEP,IUPITAL F30-01,NIDEC SANKYO,0,,,,,,,2225,2225,2225,2225
2022,OCT,IUPITAL F30-01,NIDEC SANKYO,500,,,,,1950,2725,2725,2725,2725,2725
2022,NOV,IUPITAL F30-01,NIDEC SANKYO,0,,,,2425,2725,2450,2450,2450,2450,2450
2021,DEC,IUPITAL F30-01,NIPPO METAL,400,,,,,,,225,250,225,250
2022,JAN,IUPITAL F30-01,NIPPO METAL,350,,,,,,300,300,225,225,350
2022,FEB,IUPITAL F30-01,NIPPO METAL,175,,,,,,225,175,175,225,200
2022,MAR,IUPITAL F30-01,NIPPO METAL,350,,,,300,300,225,225,225,250,350
2022,APR,IUPITAL F30-01,NIPPO METAL,400,,,,225,250,250,250,250,225,250
2022,MAY,IUPITAL F30-01,NIPPO METAL,200,,,,,,175,225,125,175,175
2022,JUN,IUPITAL F30-01,NIPPO METAL,400,,,,,,300,325,300,300,300
2022,JUL,IUPITAL F30-01,NIPPO METAL,250,,,,,,225,200,200,275,325
2022,AUG,IUPITAL F30-01,NIPPO METAL,250,,,,,,225,225,375,375,450
2022,SEP,IUPITAL F30-01,NIPPO METAL,50,,,,,,,375,425,400,125
2022,OCT,IUPITAL F30-01,NIPPO METAL,200,,,,,275,275,225,325,325,250
2022,NOV,IUPITAL F30-01,NIPPO METAL,275,,,,,275,325,275,275,225,225
2021,DEC,IUPITAL F20-03,NIPPO METAL,4850,,,,,5150,6190,6190,6950,4825,3250
2022,JAN,IUPITAL F20-03,NIPPO METAL,6625,,,,6725,6725,7200,6775,4375,4375,5650
2022,FEB,IUPITAL F20-03,NIPPO METAL,5500,,,,,6950,7050,6650,6650,6650,6300
2022,MAR,IUPITAL F20-03,NIPPO METAL,4400,,,,,8350,8350,8350,8375,8800,6500
2022,APR,IUPITAL F20-03,NIPPO METAL,5525,,,,,7275,7275,7075,6400,7900,5400
2022,MAY,IUPITAL F20-03,NIPPO METAL,5075,,,,,,,7100,5700,5225,5950
2022,JUN,IUPITAL F20-03,NIPPO METAL,7125,,,,,,,8250,6525,5925,6300
2022,JUL,IUPITAL F20-03,NIPPO METAL,7850,,,,,,,6600,6575,6825,9075
2022,AUG,IUPITAL F20-03,NIPPO METAL,6400,,,,,,,8000,8275,8425,9500
2022,SEP,IUPITAL F20-03,NIPPO METAL,8850,,,,,,,7065,6825,6775,9800
2022,OCT,IUPITAL F20-03,NIPPO METAL,7825,,,,,,8000,8825,8225,7300,10950
